//single phase coef Number:=6,    upsample factor:=69,     downsample factor:=73
 -1179, 4401,25926, 4717,-1218,   -8,
-1140, 4092,25911, 5041,-1257,   -4,
-1101, 3791,25881, 5372,-1295,   -5,
-1062, 3498,25836, 5711,-1334,   -6,
-1024, 3213,25776, 6056,-1372,   -7,
 -985, 2936,25701, 6408,-1409,   -8,
 -948, 2667,25611, 6767,-1446,  -10,
 -910, 2407,25507, 7131,-1482,  -11,
 -873, 2155,25388, 7502,-1517,  -13,
 -837, 1911,25255, 7878,-1551,  -15,
 -802, 1676,25108, 8260,-1584,  -18,
 -767, 1449,24947, 8647,-1616,  -20,
 -732, 1231,24772, 9039,-1646,  -23,
 -699, 1021,24584, 9435,-1674,  -26,
 -666,  819,24383, 9835,-1700,  -30,
 -634,  626,24168,10240,-1725,  -33,
 -603,  441,23941,10647,-1747,  -38,
 -573,  265,23701,11058,-1768,  -42,
 -544,   97,23450,11471,-1785,  -47,
 -515,  -64,23187,11886,-1800,  -52,
 -488, -216,22912,12303,-1812,  -58,
 -461, -360,22626,12722,-1821,  -64,
 -435, -497,22330,13142,-1827,  -71,
 -411, -625,22023,13562,-1830,  -78,
 -387, -746,21707,13982,-1828,  -86,
 -364, -860,21381,14402,-1823,  -94,
 -342, -967,21046,14822,-1814, -103,
 -321,-1066,20702,15240,-1801, -112,
 -300,-1158,20350,15656,-1783, -122,
 -281,-1244,19991,16070,-1761, -133,
 -263,-1322,19624,16482,-1734, -144,
 -245,-1395,19250,16891,-1702, -157,
 -228,-1461,18870,17295,-1665, -169,
 -212,-1520,18484,17696,-1623, -183,
 -197,-1574,18093,18093,-1574, -197,
 -183,-1623,17696,18484,-1520, -212,
 -169,-1665,17295,18870,-1461, -228,
 -157,-1702,16891,19250,-1395, -245,
 -144,-1734,16482,19624,-1322, -263,
 -133,-1761,16070,19991,-1244, -281,
 -122,-1783,15656,20350,-1158, -300,
 -112,-1801,15240,20702,-1066, -321,
 -103,-1814,14822,21046, -967, -342,
  -94,-1823,14402,21381, -860, -364,
  -86,-1828,13982,21707, -746, -387,
  -78,-1830,13562,22023, -625, -411,
  -71,-1827,13142,22330, -497, -435,
  -64,-1821,12722,22626, -360, -461,
  -58,-1812,12303,22912, -216, -488,
  -52,-1800,11886,23187,  -64, -515,
  -47,-1785,11471,23450,   97, -544,
  -42,-1768,11058,23701,  265, -573,
  -38,-1747,10647,23941,  441, -603,
  -33,-1725,10240,24168,  626, -634,
  -30,-1700, 9835,24383,  819, -666,
  -26,-1674, 9435,24584, 1021, -699,
  -23,-1646, 9039,24772, 1231, -732,
  -20,-1616, 8647,24947, 1449, -767,
  -18,-1584, 8260,25108, 1676, -802,
  -15,-1551, 7878,25255, 1911, -837,
  -13,-1517, 7502,25388, 2155, -873,
  -11,-1482, 7131,25507, 2407, -910,
  -10,-1446, 6767,25611, 2667, -948,
   -8,-1409, 6408,25701, 2936, -985,
   -7,-1372, 6056,25776, 3213,-1024,
   -6,-1334, 5711,25836, 3498,-1062,
   -5,-1295, 5372,25881, 3791,-1101,
   -4,-1257, 5041,25911, 4092,-1140,
   -8,-1218, 4717,25926, 4401,-1179,
